Id_pacjenta	Nazwisko	Imie	PESEL	Data_urodzenia
100	Kowal	Waldemar	01211309876	2001-1-13
110	Cyrankowska	Ilona	06281498876	2006-8-14
111	Imbierowicz	Hanna	64040456673	1964-4-4
121	Karlowski	Henryk	55090933455	1955-9-9
122	Nowakowska	Joanna	73050512356	1973-5-5
124	Witkowski	Hubert	88030422354	1988-3-4
135	Walentowicz	Kinga	02250987765	2002-5-9
147	Gumowska	Dorota	65092490065	1965-9-24
155	Duch	Alicja	06231299954	2006-3-12
160	Misz	Borys	77121098855	1977-12-10
161	Barski	Karol	99021766543	1999-2-17
163	Bartkowiak	Bartlomiej	07210376599	2007-1-3
164	Benetkiewicz	Piotr	01260988555	2001-6-9
165	Ciborski	Maciej	57091566457	1957-9-15
166	Gesicki	Radoslaw	00222709836	2000-2-27
170	Grajkowska	Monika	06271109823	2006-7-11
172	Juszczyk	Adela	99100996548	1999-10-9
173	Kolasinski	Karol	98090433765	1998-9-4
180	Kosicka	Kamila	03212099545	2003-1-20
181	Kupinski	Jakub	78061600987	1978-6-16
184	Lajzer	Michal	77092566487	1977-9-25
189	Lipinski	Artur	02281902345	2002-8-19
191	Malkowski	Adam	75082822376	1975-8-28
192	Noch	Przemyslaw	99111590976	1999-11-15
193	Nowicka	Karolina	06231744366	2006-3-17
197	Pawlak	Justyna	01250577856	2001-5-5
198	Pawlowski	Jaroslaw	80062465987	1980-6-24
200	Plaskowski	Jacek	56070476895	1956-7-4
204	Ruminski	Krzysztof	99101010987	1999-10-10
205	Szalewski	Wojciech	99111987656	1999-11-19
207	Szewczyk	Maciej	99092776545	1999-9-27
208	Wadowska	Agnieszka	04262908766	2004-6-29
209	Waga	Emilia	95052768598	1995-5-27
212	Wilkonska	Marta	83070576855	1983-7-5
213	Bojanowska	Magdalena	71022675598	1971-2-26
216	Czyza	Pawel	06281233456	2006-8-12
226	Grabania	Malgorzata	99040554586	1999-4-5
227	Kadajska	Monika	05272799043	2005-7-27
231	Becmer	Wojciech	99032778655	1999-3-27
233	Biernacka	Izabela	58073022657	1958-7-30
235	Blaszkiewicz	Marcin	04280999856	2004-8-9
236	Boladz	Artur	73022098768	1973-2-20
238	Ciecharowska	Ilona	65082890067	1965-8-28
241	Cyrankowska	Monika	03272809866	2003-7-28
243	Dankowski	Daniel	06291477654	2006-9-14
244	Draszczyk	Alicja	99030778645	1999-3-7
245	Duszynska	Joanna	66032685097	1966-3-26
246	Gumowska	Anna	59092098756	1959-9-20
247	Imbierowicz	Joanna	05272555476	2005-7-25
248	Kaminska	Jolanta	04221987656	2004-2-19
249	Karlowski	Radoslaw	80070324576	1980-7-3
252	Koronska	Sylwia	99122889704	1999-12-28
253	lukaszewska	Katarzyna	03271788923	2003-7-17
255	Modlinska	Agnieszka	06260192845	2006-6-1
257	Polarek	Mariola	53070987966	1953-7-9
258	Ottka	Piotr	49072987556	1949-7-29
262	Pieczatowski	Witold	04282277655	2004-8-22
263	Trawinska	Monika	07220899876	2007-2-8
264	Smoczynska	Karolina	99040112365	1999-4-1
266	Walentowicz	Hanna	00290122345	2000-9-1
271	Winiarska	Kinga	83072768895	1983-7-27
272	Walasz	Mariusz	93032265788	1993-3-22
273	Wojciechowska	Katarzyna	01230688765	2001-3-6
274	Wolski	Marek	99022009768	1999-2-20
276	Zawadzka	Monika	97012657489	1997-1-26
283	Wronikowska	Magdalena	06240488976	2006-4-4
284	Andracki	Bartosz	95082336577	1995-8-23
285	Bednarczyk	Lukasz	05210786955	2005-1-7
286	Bogdan	Dawid	99101889765	1999-10-18
288	Janas	Marcin	99072987699	1999-7-29
290	Januszkiewicz	Szymon	04241477685	2004-4-14
291	Kaznowska	Agnieszka	47032598077	1947-3-25
292	Korda	Dawid	88122685903	1988-12-26
295	Kosicki	Pawel	06250799087	2006-5-7
296	Krankowska	Justyna	99052009768	1999-5-20
299	Kurasz	Malgorzata	80072765543	1980-7-27
300	Miler	Beata	99012776588	1999-1-27
301	Nielepiec	Tomasz	02222678854	2002-2-26
303	Pietrzak	Iwona	76103098067	1976-10-30
306	Pirogowski	Piotr	06220488795	2006-2-4
307	Romanska	Monika	73082776855	1973-8-27
308	Sankiewicz	Przemyslaw	99100445677	1999-10-4
309	Sibilak	Izabela	70120675809	1970-12-6
311	Siemiatkowska	Anna	00210188976	2000-1-1
313	Sowinska	Dorota	88012087966	1988-1-20
314	Srubka	Marta	03292376544	2003-9-23
316	Waruszewska	Agnieszka	81102454687	1981-10-24
317	Wichrowska	Malgorzata	01212799822	2001-1-27
318	Wilczek	Agata	95082778956	1995-8-27
319	Wiorowska	Agnieszka	04292148765	2004-9-21
401	Wirowski	Marcin	90112238495	1990-11-22
403	Wozniak	Szymon	99123009458	1999-12-30
404	Zielinski	Tomasz	49060987956	1949-6-9
405	Zygarska	Joanna	07220799825	2007-2-7
408	Ostrowski	Grzegorz	01241990654	2001-4-19
409	Rutkowska	Karolina	96022675877	1996-2-26
411	Jeziorski	Adrian	99021774658	1999-2-17
412	Zabielska	Kamila	03260688934	2003-6-6
415	Borowiec	Dorota	07230899833	2007-3-8
416	Rawski	Mariusz	98062657877	1998-6-26
418	Borowski	Andrzej	92031487655	1992-3-14
420	Kandulska	Eugenia	91052687765	1991-5-26
