Id_lekarza	Nazwisko	Imie	Specjalnosc	Data_urodzenia	NIP	PESEL
23	Kadaj	Monika	laryngolog	1965-03-16	879-122-69-94	65031687654
25	Kordylewski	Michal	nefrolog	1970-01-13	567-098-55-66	70011345567
26	Lewandowska	Sylwia	urolog	1955-04-22	444-567-87-65	55042256786
28	Maslowski	Michal	okulista	1956-10-19	345-667-56-65	56101988766
29	Olejnik	Jacek	pediatra	1960-07-23	887-667-56-66	60072388766
30	Silakowska	Magdalena	nefrolog	1959-11-25	899-008-56-33	59112599088
31	Reks	Pawel	pediatra	1971-09-26	776-562-09-05	71092699876
33	Tucholska	Katarzyna	laryngolog	1970-11-11	876-555-09-33	70111133456
34	Nowak	Anna	nefrolog	1970-04-12	877-222-34-56	70041245678
36	Dybowski	Daniel	ortopeda	1954-02-18	556-877-90-67	54021833455
38	Boniecki	Pawel	alergolog	1950-05-09	566-978-87-01	50050956677
39	Celmer	Rados³aw	dermatolog	1946-08-23	657-879-65-88	46082399875
41	Czapiewski	Jakub	laryngolog	1967-08-09	234-986-99-44	67080997756
42	Dybowski	Michal	nefrolog	1966-05-29	456-787-56-91	66052988755
45	Jackowska	Agnieszka	chirurg	1970-11-05	876-456-98-12	70110565723
49	Krajewska	Malgorzata	neurolog	1977-06-06	456-987-75-33	77060688543
50	Poznanski	Maciej	kardiolog	1972-08-18	546-978-34-98	72081877653
51	Kowalik	Szymon	ortopeda	1955-09-05	546-787-76-44	55090587622
52	Marciniak	Krzysztof	reumatolog	1956-10-10	876-089-34-76	56101098724
53	Zakowska	Grazyna	okulista	1967-09-06	345-968-87-55	67090656683
55	Gawronski	Piotr	laryngolog	1969-10-27	887-988-67-54	69102777544
60	Jaworska	Karolina	chirurg	1968-04-02	456-997-87-23	68040276503
61	Olszewska	Anna	nefrolog	1954-07-03	445-987-77-34	54070376501
64	Stefanowicz	Grzegorz	internista	1955-10-27	657-098-67-55	55102744582
65	Witkowski	Karol	onkolog	1965-08-04	567-987-88-66	65080487296
67	Belczynska	Marta	internista	1973-08-26	345-878-87-34	73082679300
69	Mruk	Agata	endokrynolog	1968-03-08	867-456-34-55	68030899823
70	Gruszka	Marcin	internista	1971-02-02	768-873-67-44	71020265499
71	Rydz	Adam	laryngolog	1972-07-26	334-678-98-30	72072674961
72	Damian	Iwona	dermatolog	1954-09-23	456-098-67-01	54092365792
