Pesel;Nazwisko;Imie;Plec;Wiek
p06281200672;Adrian;Kacper;chlopiec;6
p06300604359;Baranowski;Piotr;chlopiec;6
p06262204017;Bartoszewicz;Marcin;chlopiec;6
p06311704394;Benka;Karol;chlopiec;6
p06253012074;Bialowas;Pawel;chlopiec;6
p06271100230;Bialy;Tomasz;chlopiec;6
p06312004738;Borowiec;Kacper;chlopiec;6
p06240600356;Breczko;Michal;chlopiec;6
p06261705397;Budzinski;Hubert;chlopiec;6
p06260111326;Charkiewicz;Sara;dziewczynka;6
p06272701010;Chorazak;Szymon;chlopiec;6
p06250410134;Chwil;Filip;chlopiec;6
p06251304731;Chyla;Maksymilian;chlopiec;6
p06322606856;Chyla;Tomasz;chlopiec;6
p06230607857;Cieszynski;Mikolaj;chlopiec;6
p06310904801;Ciska;Dominika;dziewczynka;6
p06240301004;Czeszewska;Paulina;dziewczynka;6
p06310802482;Dabkiewicz;Julia;dziewczynka;6
p06210304172;Dabrowa;Oliwier;chlopiec;6
p06250600128;Derengowska;Joanna;dziewczynka;6
p06301701918;Dziegielewski;Igor;chlopiec;6
p06261502154;Egiert;Wiktor;chlopiec;6
p06320804058;Filbrandt;Lukasz;chlopiec;6
p06280203539;Gajda;Przemyslaw;chlopiec;6
p06232700213;Gawor;Jan;chlopiec;6
p06232101618;Gawrecki;Grzegorz;chlopiec;6
p06281203781;Glogier;Magdalena;dziewczynka;6
p06242703958;Goral;Mikolaj;chlopiec;6
p06283103928;Grabowska;Agnieszka;dziewczynka;6
p06221600520;Jablonska;Wiktoria;dziewczynka;6
p06251401544;Janczarska;Maja;dziewczynka;6
p06312401542;Jankowska;Maria;dziewczynka;6
p06301602479;Jarzynski;Mateusz;chlopiec;6
p06252411164;Jasinska;Dorota;dziewczynka;6
p06272102927;Jasinska;Zuzanna;dziewczynka;6
p06312002453;Jesionowski;Jakub;chlopiec;6
p06222507659;Jurkowski;Karol;chlopiec;6
p06290700235;Kieliszczyk;Dominik;chlopiec;6
p06281203828;Kirszling;Karolina;dziewczynka;6
p06273101260;Knizicka;Julia;dziewczynka;6
p06272401811;Konieczek;Piotr;chlopiec;6
p06320803873;Kucharski;Jan;chlopiec;6
p06252305212;Kuleta;Michal;chlopiec;6
p06282802477;Kulwas;Lukasz;chlopiec;6
p06283009583;Kurkowska;Dorota;dziewczynka;6
p06291005735;Kwasizur;Bartosz;chlopiec;6
p06291411893;Kwiatkowski;Olivier;chlopiec;6
p06241301195;Lamorski;Lukasz;chlopiec;6
p06312800396;Langiewicz;Nikodem;chlopiec;6
p06311803192;Lelental;Adam;chlopiec;6
p06320304084;Lelong;Katarzyna;dziewczynka;6
p06323103192;Liss;Pawel;chlopiec;6
p06241200661;Liskiewicz;Martyna;dziewczynka;6
p06270304932;Lubiewski;Jakub;chlopiec;6
p06301501808;Lubocka;Maja;dziewczynka;6
p06232901591;Luchowski;Maciej;chlopiec;6
p06302808713;Machalski;Marceli;chlopiec;6
p06281300396;Magulski;Eryk;chlopiec;6
p06290103618;Majewski;Marek;chlopiec;6
p06310606161;Malarska;Alicja;dziewczynka;6
p06311302707;Markiewicz;Joanna;dziewczynka;6
p06250101339;Mazur;Blazej;chlopiec;6
p06291007201;Mildner;Maja;dziewczynka;6
p06221206603;Miszczyszyn;Kamila;dziewczynka;6
p06310802215;Modzelewski;Maksymilian;chlopiec;6
p06272503315;Mrowiec;Oskar;chlopiec;6
p06210202296;Muczynski;Dominik;chlopiec;6
p06261102323;Niedzielska;Martyna;dziewczynka;6
p06270706307;Nowakowska;Wiktoria;dziewczynka;6
p06290207275;Ochocinski;Marcel;chlopiec;6
p06231207773;Olszewski;Bartosz;chlopiec;6
p06243003620;Ossowska;Katarzyna;dziewczynka;6
p06242803450;Ossowski;Pawel;chlopiec;6
p06292407017;Ostalowski;Eryk;chlopiec;6
p06293002945;Parulska;Kinga;dziewczynka;6
p06232201646;Pawlowicz;Marlena;dziewczynka;6
p06242001223;Pikulska;Emilia;dziewczynka;6
p06312002491;Pilch;Karol;chlopiec;6
p06310503017;Pogorzelski;Konstanty;chlopiec;6
p06290906235;Polubinski;Wiktor;chlopiec;6
p06280808154;Pomaranski;Jan;chlopiec;6
p06262303853;Potrykus;Wojciech;chlopiec;6
p06210509508;Prus;Alicja;dziewczynka;6
p06320205880;Rakowska;Nadia;dziewczynka;6
p06261203048;Recko;Lena;dziewczynka;6
p06251300379;Ryll; Tymoteusz;chlopiec;6
p06252302493;Salamonik;Wiktor;chlopiec;6
p06261002777;Sapieha;Jan;chlopiec;6
p06232700237;Senczyszyn;Dawid;chlopiec;6
p06280801799;Senger;Marcin;chlopiec;6
p06222302445;Skorzynska;Alicja;dziewczynka;6
p06270504141;Srokowska;Anna ;dziewczynka;6
p06270201581;Srokowska;Julia;dziewczynka;6
p06301809470;Stankowski;Lukasz;chlopiec;6
p06283001301;Stencel;Zuzanna;dziewczynka;6
p06261102347;Studzieniecka;Marta;dziewczynka;6
p06291603445;Szajrych;Anna;dziewczynka;6
p06251100696;Szczepkowski;Mateusz;chlopiec;6
p06321808716;Szerner;Hubert;chlopiec;6
p06301604037;Szlejter;Pawel;chlopiec;6
p06210501173;Taczynski;Oliwier;chlopiec;6
p06321606765;Tatarewicz;Julia;dziewczynka;6
p06242302478;Tatkowski;Kajetan;chlopiec;6
p06281200696;Toczek;Konrad;chlopiec;6
p06250700453;Toda;Piotr;chlopiec;6
p06261203031;Tokarski;Ignacy;chlopiec;6
p06262601432;Tolwinski;Dawid;chlopiec;6
p06310901488;Tomaszewska;Zuzanna;dziewczynka;6
p06282302205;Ulasiuk;Maja;dziewczynka;6
p06240901082;Walenis;Kinga;dziewczynka;6
p06311001507;Waluszko;Zofia;dziewczynka;6
p06313006920;Wilinska;Natalia;dziewczynka;6
p06211200491;Wojniusz;Jakub;chlopiec;6
p06221300338;Zalewski;Karol;chlopiec;6
p06302507933;Ziolkowski;Dylan;chlopiec;6
p06262611336;Zygmunt;Hubert;chlopiec;6
p06270706390;Zebrowski;Adam;chlopiec;6
p06301500531;Zmudzinski;Adrian;chlopiec;6
p07241900438;Andrzejewski;Tymon;chlopiec;5
p07280302488;Antoszak;Zuzanna;dziewczynka;5
p07210601986;Augustyn;Lena;dziewczynka;5
p07303010886;Augustynowicz;Oliwia;dziewczynka;5
p07301503890;Baaske-Czerniak;Krystian;chlopiec;5
p07280202696;Babiarczyk;Piotr;chlopiec;5
p07221402440;Babul;Julia;dziewczynka;5
p07310101274;Baginski;Stanislaw;chlopiec;5
p07211500307;Bajer;Zuzanna;dziewczynka;5
p07232102623;Bajurska;Karolina;dziewczynka;5
p07232202262;Bajurska;Wiktoria;dziewczynka;5
p07222600090;Bandosz;Jan;chlopiec;5
p07231600146;Baranowska;Alicja;dziewczynka;5
p07231600108;Baranowska;Lidia;dziewczynka;5
p07262504886;Baranowska;Martyna;dziewczynka;5
p07322704858;Baranski;Dariusz;chlopiec;5
p07322803540;Baranska;Anastazja;dziewczynka;5
p07320100519;Barcikowski;Michal;chlopiec;5
p07291101926;Barczak;Emilia;dziewczynka;5
p07211903766;Basek;Julia;dziewczynka;5
p07302100898;Berbec;Jan;chlopiec;5
p07251711774;Bialuk;Tomasz;chlopiec;5
p07261400138;Bialas;Mateusz;chlopiec;5
p07292807845;Bialek;Weronika;dziewczynka;5
p07270105189;Biegaj;Maria;dziewczynka;5
p07310500318;Bielecki;Maksymilian;chlopiec;5
p07272702322;Bikonis;Zuzanna;dziewczynka;5
p07302506472;Bilinski;Mateusz;chlopiec;5
p07282410637;Bilmon;Szymon;chlopiec;5
p07212603801;Bladowska;Marcelina;dziewczynka;5
p07281400659;Bogucki;Oliwier;chlopiec;5
p07262602621;Boguszewska;Natalia;dziewczynka;5
p07230200118;Bokun;Jan;chlopiec;5
p07282904589;Bona;Eliza;dziewczynka;5
p07211400409;Borkowska;Nadia;dziewczynka;5
p07300207368;Borucka;Aleksandra;dziewczynka;5
