Pesel;Numer_preferencji;Id_przedszkola
p07270202084;1;38
p08310501583;1;48
p09290609238;1;57
p09290609238;2;61
p07222600090;1;57
p08321504807;1;57
p08321504807;2;2
p08280502120;1;4
p09221400954;1;22
p09221400954;2;35
p09271613355;1;66
p09271613355;2;76
p09271613355;3;39
p08312405830;1;56
p08312405830;2;76
p08312405830;3;5
p07262504886;1;31
p07231107933;1;46
p08212209875;1;47
p08263011320;1;4
p06270504141;1;25
p08231901893;1;59
p08293002437;1;50
p08320100790;1;49
p08320100790;2;76
p08232909883;1;60
p09232907574;1;10
p09232907574;2;5
p09232907574;3;21
p07270701309;1;60
p07211605217;1;3
p07211605217;2;56
p09282205141;1;44
p07211903766;1;17
p07211903728;1;17
p09241508142;1;32
p09241508142;2;21
p09241508142;3;10
p08273104830;1;20
p08290507751;1;31
p08241101171;1;50
p09323100848;1;64
p09322801993;1;26
p09322801993;2;34
p09322801993;3;20
p09291308211;1;4
p09291308211;2;50
p09291308211;3;10
p07211704411;1;25
p09302310066;1;61
p09302310066;2;66
p09302310066;3;23
p09220805088;1;46
p07263003575;1;21
p08253100889;1;52
p08253100889;2;37
p08253100889;3;56
p09251503902;1;49
p09252909912;1;23
p09252909912;2;22
p09252909912;3;13
p09250511331;1;2
p09250511331;2;17
p08253012993;1;48
p09222100402;1;17
p09222100402;2;2
p09222100402;3;57
p09290210555;1;43
p09290210555;2;33
p09290210555;3;51
p09260301274;1;33
p09260301274;2;51
p09322302081;1;66
p09221304623;1;21
p09221304623;2;10
p07270203047;1;56
p07232003498;1;2
p09230305589;1;10
p09230305589;2;21
p09230305589;3;5
p09230305527;1;10
p09230305527;2;21
p09230305527;3;5
p07280700903;1;43
p06290103618;1;51
p09211509836;1;43
p08211403256;1;56
p08211403256;2;76
p08211403256;3;2
p08281205220;1;64
p09231813218;1;34
p09231813218;2;20
p09231813218;3;26
p08322401899;1;17
p07241501103;1;51
p07322708289;1;21
p09270901871;1;37
p09270901871;2;43
p09270901871;3;52
p09262309577;1;53
p09240105227;1;60
p09240105227;2;35
p09240105227;3;2
p09230300867;1;4
p09262800863;1;39
p09262800863;2;5
p09262800863;3;10
p09230300843;1;4
p09221900751;1;47
p09221900751;2;50
p09261802811;1;23
p07320504030;1;52
p09253002409;1;10
p09253002409;2;21
p07270303556;1;10
p09302403278;1;25
p09302403278;2;38
p06232101618;1;38
p08232504330;1;51
p09261109093;1;20
p09261109093;2;34
p09261109093;3;23
p09250300227;1;66
p09250300227;2;22
p09250300227;3;57
p07262605297;1;2
p07292302173;1;46
p09302011103;1;46
p09301705654;1;51
p09220504833;1;60
p09220504833;2;56
p09220504833;3;17
p07321906749;1;31
p09270606462;1;60
p09270606462;2;76
p09270606462;3;56
p07280700941;1;60
p09292704320;1;56
p09292704320;2;76
p09292704320;3;2
p09221402888;1;46
p09221402888;2;43
p08261002399;1;66
p09310511064;1;2
p09310511064;2;17
p08213102481;1;35
p08280101329;1;17
p08250804502;1;56
p08250804502;2;76
p09321708062;1;56
p09321708062;2;60
p09321708062;3;76
p07291400957;1;26
p09211900552;1;60
p09211900552;2;76
p09211900552;3;56
p08311206692;1;59
p08311206692;2;47
p08311206692;3;57
p09271706338;1;1
p09210612427;1;6
p09210612427;2;23
p09210612427;3;49
p08261702503;1;53
p09310208166;1;37
p09310208166;2;40
p09282503171;1;1
p09281908014;1;53
p06313006920;1;60
p08302808977;1;60
p09302007557;1;56
p09302007557;2;76
p09302007557;3;60
p09291713118;1;76
p09291713118;2;60
p09291713118;3;56
p09222603677;1;1
p09222603677;2;10
p09253107531;1;66
p09253107531;2;17
p09253107531;3;2
p07301403237;1;44
p07211100606;1;50
p08310601368;1;42
p08282108997;1;59
p08282108997;2;47
p08301600952;1;34
p08282003537;1;35
p09302801236;1;60
p09302801236;2;76
p09302801236;3;56
p08230501681;1;25
p09292904058;1;46
p09292904058;2;64
p09292904058;3;52
p09240705359;1;9
p07222804364;1;20
p07271501663;1;39
p07271501663;2;76
p07271501663;3;40
p09241306214;1;20
p08292600995;1;5
p08292600995;2;3
p09320805814;1;5
p09320805814;2;3
p09250609487;1;48
p09250609487;2;40
p09281906944;1;76
p09281906944;2;60
p09281906944;3;25
p09321607125;1;5
p09321607125;2;39
p09321607125;3;10
p07230100340;1;55
p09220204214;1;35
